istatenum;icasenum;ivnumber;ipnumber;iarrhr;iarrmin;sarrtime;iatmcond;icity;iconszone;icounty;saccdate;iaccday;iacchr;iaccmin;iaccmon;iarf1;iarf2;iarf3;sacctime;iaccyr;dayofweek;ihosphr;ihospmin;shosptime;ifhevent;ihitrun;iholiday;heavytruck;latitude;ilatdeg;ilatmin;ilatsec;ilightcond;longitude;ilondeg;ilonmin;ilonsec;imanncol;smilepnt;inhs;inothr;inotmin;snottime;numfatal;inmforms;ipforms;itraflane;ivforms;srxing;ireljunc;irelrdwy;iroadalgn;irfun;iroadprof;isurfcond;isurftype;irtesign;ischlbus;ispejur;ispdlim;icontdev;idevfunc;itrafflow;strafid;strafid2;iage;iairbag;ialcres;ialctst;sdthdate;ideathday;ideathhr;ideathmin;ideathmon;sdthtime;ideathyr;idiedscene;idrugres1;idrugres2;idrugres3;idrugtst1;idrugtst2;idrugtst3;iejection;iejectpath;iextricat;iinjurwrk;ihispanic;iinjury;imethalc;imethdrug;inmlocat;istrikveh;iprf1;iprf2;iprf3;iptype;idruginv;ialcinvol;irace;irestraint;iseatpos;isex;itakehosp;lagtime
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;1;1;99;99;9999;2;0;0;111;1012006;1;13;55;1;0;0;0;1355;2006;1;99;99;9999;12;0;1;0;34.40833889;34;24;3002;1;-118.77510833;118;46;3039;5;296;1;99;99;9999;1;0;3;4;2;0;1;1;1;2;1;2;2;3;0;0;60;0;0;5;SR-126;.;34;29;0;1;1012006;1;13;55;1;1355;2006;7;0;0;0;0;0;0;1;2;0;0;1;4;9;8;0;0;0;0;0;1;8;0;1;3;11;1;0;0
6;1;2;1;99;99;9999;2;0;0;111;1012006;1;13;55;1;0;0;0;1355;2006;1;99;99;9999;12;0;1;0;34.40833889;34;24;3002;1;-118.77510833;118;46;3039;5;296;1;99;99;9999;1;0;3;4;2;0;1;1;1;2;1;2;2;3;0;0;60;0;0;5;SR-126;.;24;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;9;8;0;0;0;0;0;1;8;0;0;3;11;1;0;99999
6;1;2;2;99;99;9999;2;0;0;111;1012006;1;13;55;1;0;0;0;1355;2006;1;99;99;9999;12;0;1;0;34.40833889;34;24;3002;1;-118.77510833;118;46;3039;5;296;1;99;99;9999;1;0;3;4;2;0;1;1;1;2;1;2;2;3;0;0;60;0;0;5;SR-126;.;18;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;9;8;0;0;0;0;0;2;8;8;0;3;13;1;1;99999
6;2;1;1;99;99;9999;2;0;0;19;1012006;1;20;3;1;0;0;0;2003;2006;1;0;0;0;42;0;1;0;36.72043056;36;43;1355;2;-120.00951944;120;0;3427;0;0;0;99;99;9999;1;0;4;2;1;0;1;4;1;13;1;2;2;4;0;0;55;0;0;1;CALIFORNIA AVE;.;17;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;9;8;0;0;0;0;0;1;8;0;0;3;11;2;0;99999
6;2;1;2;99;99;9999;2;0;0;19;1012006;1;20;3;1;0;0;0;2003;2006;1;0;0;0;42;0;1;0;36.72043056;36;43;1355;2;-120.00951944;120;0;3427;0;0;0;99;99;9999;1;0;4;2;1;0;1;4;1;13;1;2;2;4;0;0;55;0;0;1;CALIFORNIA AVE;.;17;30;0;1;1012006;1;20;3;1;2003;2006;7;1;0;0;1;0;0;0;0;0;0;7;4;9;8;0;0;0;0;0;2;8;8;1;3;21;1;0;0
6;2;1;3;99;99;9999;2;0;0;19;1012006;1;20;3;1;0;0;0;2003;2006;1;0;0;0;42;0;1;0;36.72043056;36;43;1355;2;-120.00951944;120;0;3427;0;0;0;99;99;9999;1;0;4;2;1;0;1;4;1;13;1;2;2;4;0;0;55;0;0;1;CALIFORNIA AVE;.;18;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;9;8;0;0;0;0;0;2;8;8;0;3;13;2;0;99999
6;2;1;4;99;99;9999;2;0;0;19;1012006;1;20;3;1;0;0;0;2003;2006;1;0;0;0;42;0;1;0;36.72043056;36;43;1355;2;-120.00951944;120;0;3427;0;0;0;99;99;9999;1;0;4;2;1;0;1;4;1;13;1;2;2;4;0;0;55;0;0;1;CALIFORNIA AVE;.;16;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;3;23;1;0;99999
6;3;1;1;99;99;9999;1;0;0;71;1012006;1;17;56;1;0;0;0;1756;2006;1;99;99;9999;1;0;1;1;34.06665278;34;3;5995;1;-116.55563333;116;33;2028;0;33;1;99;99;9999;1;0;4;4;1;0;1;4;1;3;1;1;2;3;0;0;55;0;0;5;SR-62;.;40;30;0;1;1012006;1;17;56;1;1756;2006;7;1;0;0;1;0;0;1;9;0;1;7;4;9;8;0;0;0;0;0;1;8;0;1;0;11;1;0;0
6;3;1;2;99;99;9999;1;0;0;71;1012006;1;17;56;1;0;0;0;1756;2006;1;99;99;9999;1;0;1;1;34.06665278;34;3;5995;1;-116.55563333;116;33;2028;0;33;1;99;99;9999;1;0;4;4;1;0;1;4;1;3;1;1;2;3;0;0;55;0;0;5;SR-62;.;16;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;0;13;1;1;99999
6;3;1;3;99;99;9999;1;0;0;71;1012006;1;17;56;1;0;0;0;1756;2006;1;99;99;9999;1;0;1;1;34.06665278;34;3;5995;1;-116.55563333;116;33;2028;0;33;1;99;99;9999;1;0;4;4;1;0;1;4;1;3;1;1;2;3;0;0;55;0;0;5;SR-62;.;14;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;0;51;1;1;99999
6;3;1;4;99;99;9999;1;0;0;71;1012006;1;17;56;1;0;0;0;1756;2006;1;99;99;9999;1;0;1;1;34.06665278;34;3;5995;1;-116.55563333;116;33;2028;0;33;1;99;99;9999;1;0;4;4;1;0;1;4;1;3;1;1;2;3;0;0;55;0;0;5;SR-62;.;10;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;0;51;1;1;99999
