statenum;casenum;vnumber;pnumber;atmcond;atmcond2;city;county;accdate;holiday;trafid1;trafid2;alcres;druginv;malcohol;crashtype
;;;;;;;;;;;;;;;
6;1;1;1;1;0;0;93;1012015;0;SISKIYOU AVE;DUNSMUIR AVE;.;9;0;1
6;2;1;1;1;0;0;37;1012015;0;CR-FIRST AVE;CANDLELIGHT DRIVE;200;9;1;50
6;2;2;1;1;0;0;37;1012015;0;CR-FIRST AVE;CANDLELIGHT DRIVE;.;9;1;51
6;3;1;1;1;0;2400;59;1012015;0;SR-1;NEWPORT COAST DRIVE;996;0;0;13
6;4;1;1;1;0;0;67;1012015;0;I-80;.;210;0;1;48
6;4;2;1;1;0;0;67;1012015;0;I-80;.;996;0;0;48
6;4;2;2;1;0;0;67;1012015;0;I-80;.;996;8;0;48
6;4;2;3;1;0;0;67;1012015;0;I-80;.;996;8;0;48
6;4;2;4;1;0;0;67;1012015;0;I-80;.;996;8;0;48
6;4;3;1;1;0;0;67;1012015;0;I-80;.;996;0;0;98
6;5;1;1;1;0;2960;71;1022015;0;I-10;.;996;0;0;13
6;6;1;1;1;0;0;99;1022015;0;CR-SANTA FE AVENUE;.;0;9;0;6
6;7;1;1;1;0;1846;65;1022015;0;WASHINGTON STREET;LAKE LA QUINTA DRIVE;996;0;0;68
6;7;2;1;1;0;1846;65;1022015;0;WASHINGTON STREET;LAKE LA QUINTA DRIVE;996;0;0;69
6;7;2;2;1;0;1846;65;1022015;0;WASHINGTON STREET;LAKE LA QUINTA DRIVE;996;8;0;69
6;8;1;1;1;0;0;71;1022015;.;I-15;.;.;9;0;98
6;8;1;2;1;0;0;71;1022015;.;I-15;.;.;8;0;98
6;9;1;1;1;0;3260;73;1032015;0;BACON STREET;CORONADO AVENUE;230;9;1;2
6;9;1;2;1;0;3260;73;1032015;0;BACON STREET;CORONADO AVENUE;996;8;1;2
6;10;1;1;1;0;1980;37;1042015;0;SLAUSON AVENUE;.;996;9;0;13
6;11;1;1;1;0;3340;85;1042015;0;US-101;.;996;0;0;46
6;11;1;2;1;0;3340;85;1042015;0;US-101;.;996;8;0;46
6;11;2;1;1;0;3340;85;1042015;0;US-101;.;0;0;0;45
6;12;1;1;1;0;0;71;1042015;0;CR-OLD WOMAN SPRINGS ROAD;SR-18;996;0;0;13
6;12;1;2;1;0;0;71;1042015;0;CR-OLD WOMAN SPRINGS ROAD;SR-18;996;8;0;13
6;12;1;3;1;0;0;71;1042015;0;CR-OLD WOMAN SPRINGS ROAD;SR-18;996;8;0;13
6;12;2;1;1;0;0;71;1042015;0;CR-OLD WOMAN SPRINGS ROAD;SR-18;996;0;0;98
6;12;2;2;1;0;0;71;1042015;0;CR-OLD WOMAN SPRINGS ROAD;SR-18;996;8;0;98
6;13;1;1;1;0;0;7;1042015;0;SR-99;.;996;0;0;13
6;13;1;2;1;0;0;7;1042015;0;SR-99;.;996;8;0;13
6;14;1;1;1;0;1980;37;1032015;0;NORDHOFF STREET;COLLETT AVENUE;996;0;0;13
6;15;1;1;10;0;0;21;1052015;0;CR-COUNTY ROAD P;CR-COUNTY ROAD 200;0;9;0;89
6;15;2;1;10;0;0;21;1052015;0;CR-COUNTY ROAD P;CR-COUNTY ROAD 200;996;0;0;88
6;15;3;1;10;0;0;21;1052015;0;CR-COUNTY ROAD P;CR-COUNTY ROAD 200;996;0;0;98
6;16;1;1;1;0;0;29;1052015;0;CR-VIRGINIA AVENUE;CR-OSWELL STREET;996;0;0;13
6;17;1;1;1;0;1980;37;1062015;0;54TH STREET;.;996;0;0;13
6;18;1;1;1;0;0;67;1062015;0;CR-MARTIN LUTHER KING JR BLVD;CR-48TH AVE;996;0;0;13
6;19;1;1;1;0;3110;61;1032015;0;DOUGLAS BLVD;EUREKA RD;0;0;0;13
6;20;1;1;1;0;1364;1;1052015;0;I-680;.;.;9;0;24
6;20;2;1;1;0;1364;1;1052015;0;I-680;.;996;0;0;25
6;20;3;1;1;0;1364;1;1052015;0;I-680;.;996;0;0;98
6;20;4;1;1;0;1364;1;1052015;0;I-680;.;996;0;0;98
6;20;5;1;1;0;1364;1;1052015;0;I-680;.;996;0;0;98
6;21;1;1;1;0;2480;1;1012015;0;I-580;.;40;1;1;1
6;21;1;2;1;0;2480;1;1012015;0;I-580;.;0;8;1;1
6;22;1;1;10;0;3260;73;1112015;0;DEL SOL BL;.;170;0;1;98
6;22;1;2;10;0;3260;73;1112015;0;DEL SOL BL;.;996;8;1;98
6;22;1;3;10;0;3260;73;1112015;0;DEL SOL BL;.;996;8;1;98
6;22;1;4;10;0;3260;73;1112015;0;DEL SOL BL;.;996;8;1;98
6;23;1;1;1;0;2278;65;1022015;0;ALESSANDRO BLVD;.;996;9;0;13
6;23;2;1;1;0;2278;65;1022015;0;ALESSANDRO BLVD;.;996;0;0;98
6;24;1;1;1;0;0;1;1042015;0;SR-84;OLD VALLECITOS ROAD;996;0;0;82
6;24;2;1;1;0;0;1;1042015;0;SR-84;OLD VALLECITOS ROAD;0;9;0;83
6;24;2;2;1;0;0;1;1042015;0;SR-84;OLD VALLECITOS ROAD;0;8;0;83
6;24;3;1;1;0;0;1;1042015;0;SR-84;OLD VALLECITOS ROAD;996;0;0;98
6;24;3;2;1;0;0;1;1042015;0;SR-84;OLD VALLECITOS ROAD;996;8;0;98
6;24;3;3;1;0;0;1;1042015;0;SR-84;OLD VALLECITOS ROAD;996;8;0;98
6;24;3;4;1;0;0;1;1042015;0;SR-84;OLD VALLECITOS ROAD;996;8;0;98
6;25;1;1;10;0;0;67;1092015;0;SR-160;.;170;9;1;2
6;25;1;2;10;0;0;67;1092015;0;SR-160;.;0;8;1;2
6;25;1;3;10;0;0;67;1092015;0;SR-160;.;996;8;1;2
6;26;1;1;1;0;639;37;1052015;0;SR-91;.;310;0;1;44
6;26;2;1;1;0;639;37;1052015;0;SR-91;.;996;0;0;45
